"","X","aba","agepr","aise","ancons","depenses_combustibles_liquides","depenses_combustibles_solides","depenses_electricite","depenses_gaz_liquefie","depenses_gaz_ville","depenses_tot","dip14pr","htl","ident_men","identifiant_menage","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_04_5_0_0","poste_04_5_5_1","poste_04_5_5_2","revtot","stalog","surfhab_d","zeat","fioul","gaz_ville","electricite","strate","rural","petite_ville","moyenne_ville","grande_ville","paris","bat_av_49","bat_49_74","bat_ap_74","log_indiv","log_colec","ouest_sud","est_nord","aides_logement","depenses_energies","part_energies_depenses_tot","part_energies_revtot","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_2","donation_class_3","donation_class_4","froid_cout","froid_impaye","froid_installation","froid_isolation","froid","gchauf_2","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_5","isolation_fenetres","isolation_murs","isolation_toit","majorite_double_vitrage"
"167",166,NA,21,5,99,0,0,0,0,0,7504.016658454,50,3,10208,201700166,1,1,0,1,1,4190.2268832,0,0,0,5441,3,28,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5441,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"206",205,2,39,2,1,1808.0203989354,445.38611037685,782.817420547946,196.103827364265,0,27728.3,30,1,10262,201700205,1,5,5,7,3,1809.2095938,0,0,0,13612,1,110,9,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3232.32775722447,0.116571436302423,0.23746163364858,4537.33333333333,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"250",250,NA,43,4,8,0,0,1586.79206867827,451.03880293781,0,32137.4,71,1,10322,201700250,1,4,3,4,2.1,464.36740086,0,0,0,17489,3,90,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2037.83087161608,0.063409948272607,0.116520719973474,8328.09523809524,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"257",257,NA,55,4,1,0,0,751.081579174381,46.2244735930054,0,6067.64,71,1,1033,201700257,1,2,0,1,1,3467.4019257,0,0,0,9189,3,31,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,797.306052767386,0.131402992393647,0.0867674450720847,9189,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
"297",297,2,66,3,1,0,0,1771.24642958848,0,335.72936912746,23473.757477958,70,2,10377,201700297,0,4,0,2,1.5,465.4229148,0,0,0,14620,1,69,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2106.97579871594,0.0897587785293601,0.144115991704237,9746.66666666667,1,1,"1_0","1_0_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"300",300,2,33,1,1,0,148.462036792283,497.194848185858,0,63.033373081371,7431,30,1,1038,201700300,1,2,0,1,1,2685.4107636,0,0,0,1925,1,100,9,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,708.690258059512,0.0953694331933134,0.368150783407539,1925,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1
"307",307,NA,75,3,99,0,0,399.871601306924,84.044497441828,0,16182.94,71,1,10389,201700307,1,3,1,2,1.5,2573.1485392,0,0,0,10574,3,78,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,483.916098748752,0.0299028544101845,0.0457647152211795,7049.33333333333,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"331",331,2,51,4,9,0,0,1438.69147560163,0,1022.54138554224,32263.3245718,31,1,10418,201700331,1,5,2,4,2.5,2502.6762457,0,0,0,26522,2,120,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2461.23286114387,0.0762857794046163,0.0927996705053869,10608.8,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
"354",354,2,65,4,1,0,296.924073584567,243.308117197335,0,0,15728.76923415,50,1,10455,201700354,1,4,0,1,1,2617.4685285,0,0,0,2584,1,110,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,540.232190781901,0.0343467554733373,0.209068185287113,2584,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"357",357,2,81,3,1,813.609179520932,0,1112.17587564293,490.259568410663,545.560224833136,21809.011217674,71,1,10458,201700357,0,4,0,2,1.5,2269.694228,0,0,0,15280,1,150,9,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2961.60484840766,0.135797300429997,0.193822306832962,10186.6666666667,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
